category_id,listing_type_id,listing_type_fee
MLM38207,gold_pro,0.145
MLM38207,gold_special,0.1
MLM189493,gold_pro,0.145
MLM189493,gold_special,0.1
MLM189796,gold_pro,0.195
MLM189796,gold_special,0.15
MLM187593,gold_pro,0.165
MLM187593,gold_special,0.12
MLM92131,gold_pro,0.175
MLM92131,gold_special,0.13
MLM7584,gold_pro,0.195
MLM7584,gold_special,0.15
MLM1694,gold_pro,0.145
MLM1694,gold_special,0.1
MLM1693,gold_pro,0.145
MLM1693,gold_special,0.1
MLM21065,gold_pro,0.195
MLM21065,gold_special,0.15
MLM1708,gold_pro,0.145
MLM1708,gold_special,0.1
MLM1692,gold_pro,0.145
MLM1692,gold_special,0.1
MLM9761,gold_pro,0.145
MLM9761,gold_special,0.1
MLM1695,gold_pro,0.145
MLM1695,gold_special,0.1
MLM39130,gold_pro,0.145
MLM39130,gold_special,0.1
MLM3553,gold_pro,0.145
MLM3553,gold_special,0.1
MLM4122,gold_pro,0.145
MLM4122,gold_special,0.1
MLM54168,gold_pro,0.195
MLM54168,gold_special,0.15
MLM18445,gold_pro,0.195
MLM18445,gold_special,0.15
MLM1720,gold_pro,0.195
MLM1720,gold_special,0.15
MLM189680,gold_pro,0.195
MLM189680,gold_special,0.15
MLM11878,gold_pro,0.145
MLM11878,gold_special,0.1
MLM437813,gold_pro,0.195
MLM437813,gold_special,0.15
MLM54191,gold_pro,0.195
MLM54191,gold_special,0.15
MLM187264,gold_pro,0.145
MLM187264,gold_special,0.1
MLM1707,gold_pro,0.145
MLM1707,gold_special,0.1
MLM191083,gold_pro,0.165
MLM191083,gold_special,0.12
MLM189676,gold_pro,0.195
MLM189676,gold_special,0.15
MLM439545,gold_pro,0.145
MLM439545,gold_special,0.1
MLM7642,gold_pro,0.195
MLM7642,gold_special,0.15
MLM189601,gold_pro,0.195
MLM189601,gold_special,0.15
MLM191916,gold_pro,0.195
MLM191916,gold_special,0.15
MLM1659,gold_pro,0.145
MLM1659,gold_special,0.1
MLM7596,gold_pro,0.195
MLM7596,gold_special,0.15
MLM189868,gold_pro,0.145
MLM189868,gold_special,0.1
MLM149383,gold_pro,0.195
MLM149383,gold_special,0.15
MLM120236,gold_pro,0.145
MLM120236,gold_special,0.1
MLM31529,gold_pro,0.195
MLM31529,gold_special,0.15
MLM189887,gold_pro,0.145
MLM189887,gold_special,0.1
MLM1697,gold_pro,0.145
MLM1697,gold_special,0.1
MLM439470,gold_pro,0.145
